Category,Product Name,Price_PKR,Raw_Specs,Source,Brand,VRAM,RAM,Storage
Laptop,Dell Vostro 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD 120Hz Display Dos Black,138500,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,"Dell Inspiron 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Touchscreen Display Win11 Home Carbon Black",140800,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,"HP Laptop 15-FD0336TU Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Dos Natural Silver",141000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,"HP 15-FD0499NIA Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Dos Natural Silver",143000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,"Dell Inspiron 5440 Intel Core i5 13th Gen 8GB 512GB SSD 14"" FHD Display Backlit KB Win11 Home Carbon Black",143000,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,"HP 15 DW3004NE Intel Core i5 11th Gen 8GB 256GB SSD 15.6"" FHD Display Nvidia MX350 2GB Graphics Dos Silver - Open Box",144000,,Bulk_Scrape_Fixed,Hp,,8.0,256.0
Laptop,"HP 15 FD0647TU Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Win11 Natural Silver (Official Warranty)",144000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,"Lenovo IdeaPad Slim 3 15IRU9 Intel Core Ultra 5 120U 8GB 512GB SSD 15.6"" FHD Touchscreen Display Backlit KB Fingerprint Reader Win11 Home Arctic Grey",145000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,"HP 15 FD0150WM Intel Core 5 120U 8GB 512GB SSD 15.6"" FHD Touchscreen Display Win11 Natural Silver",147000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,Lenovo Ideapad 3 Intel Core i7 11th Gen 8GB 1TB HDD 15.6 FHD Dos Grey,147000,,Bulk_Scrape_Fixed,Lenovo,,8.0,
Laptop,Lenovo V15 G4 IRU Intel Core i5 13th 8GB 512GB SSD 15.6″ FHD Display Dos Business Black (Official Warranty),148500,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,"ASUS ExpertBook B1503CVA-I516512G8D Intel Core i5 13th Gen 16GB D5 512GB SSD 15.6"" FHD Display Backlit KB Fingerprint Reader Dos Gentle Grey (Official Warranty)",150000,,Bulk_Scrape_Fixed,Asus,,16.0,512.0
Laptop,Dell Inspiron 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD 120Hz Dos Platinum Silver with Bag - Official Warranty,155000,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,Lenovo Ideapad L3 15ITL6 Intel Core i7 11th Gen 8GB 1TB HDD 256SSD 15.6 FHD IPS Display Dos Grey (Official Warranty),158000,,Bulk_Scrape_Fixed,Lenovo,,8.0,
Laptop,HP Envy ES1013DX Intel Core 5 120U 8GB 512GB 14 FHD IPS Touch X360 Backlit KB FingerPrint Reader Win11 Silver,162000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,Dell Vostro 3530 Intel Core i7 13th Gen 8GB 512GB SSD 15.6 FHD Display Dos Black,165800,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,"HP OmniBook X Flip 16-BE0003DX AMD Ryzen 5 220 8GB D5 512GB SSD 16"" WUXGA IPS 2K Touchscreen x360 Display Backlit KB Win11 Meteor Silver",166000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
