Category,Product Name,Price_PKR,Raw_Specs,Source,Brand,VRAM,RAM,Storage,Category_Enc,Brand_Enc,Fair_Price,Scalp_Score
Laptop,"HP Probook 450 G10 Intel Core i7 13th Gen 16GB 512GB SSD 15.6"" FHD Display Backlit KB Fingerprint Reader Dos Silver",215000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,-10.507652040124041
Laptop,"Lenovo ThinkPad E14 G6 Intel Core Ultra 5 125H 8GB 512GB SSD 14"" WUXGA Display Dos Black",215000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,1.9677482398087844
Laptop,"HP Probook 460 G11 Intel Core Ultra 7 155U 8GB 512GB SSD 16"" WUXGA Backlit KB Fingerprint Reader Dos Silver",220000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,22.802262715583048
Laptop,"MSI Thin 15 B13VE-1451US Intel Core i5 13th Gen 16GB 512GB SSD 15.6"" FHD 144Hz Display NVIDIA Geforce RTX 4050 6GB Graphics Backlit KB Win11 Black",218000,,Bulk_Scrape_Fixed,Msi,0,16,512,1,10,316920.86309523816,-31.213111730517838
Laptop,HP Victus 15 FA2082WM Intel Core i5 13th Gen 16GB 512GB SSD 15.6 FHD IPS 144Hz Display NVIDIA RTX 4050 6GB Graphics Backlit KB Win11 Mica Silver,221000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,-8.010191166825177
Laptop,Lenovo Thinkpad E16 G1 Intel Core i5 13th 8GB 512GB SSD 16  FHD Backlit KB Dos Graphite Black - (Offical Warranty),222000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,5.287628415058373
Laptop,"Lenovo ThinkPad E16 G2 Intel Core Ultra 5 125U 8GB 512GB SSD 16"" WUXGA Backlit KB Dos Graphite Black",226500,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,7.421837099147393
Laptop,"Dell Inspiron 14 7440 Intel Core 7 150U 16GB 512GB SSD 14"" FHD x360 Touchscreen Display Backlit KB Fingerprint Reader Win11 Ice Blue",226800,,Bulk_Scrape_Fixed,Dell,0,16,512,1,5,271293.7867299367,-16.400591869886316
Laptop,"HP Victus 15-FA2701WM Intel Core i5 13th Gen 16GB 512GB SSD 15.6"" FHD IPS 144Hz NVIDIA RTX 4050 6GB Graphics Backlit Keyboard Win11 Mica Silver",228000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,-5.096486814643169
Laptop,HP Envy 14 ES1023DX Intel Core 7 150U 16GB 512GB SSD 14 FHD IPS Touch X360 Backlit KB Fingerprint Reader Win11 Natural Silver,228000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,-5.096486814643169
Laptop,"Lenovo LOQ 15IRX9 Intel Core i5 13th Gen 12GB D5 512GB SSD 15.6"" FHD Display NVIDIA GeForce RTX 3050 6GB Graphics Backlit KB Dos Luna Grey",228500,,Bulk_Scrape_Fixed,Lenovo,0,12,512,1,8,275368.017616667,-17.020138366943844
Laptop,"HP Probook 460 G11 Intel Core Ultra 7 155U 16GB 512GB SSD 16"" WUXGA Backlit KB Fingerprint Reader Dos Silver",230000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,-4.2639998568768815
Laptop,"HP OmniBook 5 16-AF1067ST Intel Core Ultra 7 255U 16GB D5 1TB SSD 16"" 2K Display Backlit KB Win11 Glacier Silver",235000,,Bulk_Scrape_Fixed,Hp,0,16,0,1,7,336483.9823232323,-30.160122815517866
Laptop,"Lenovo Yoga 7 2-in-1 16IML9 Intel Core Ultra 7 155U 16GB 1TB SSD 16"" WUXGA X360 Touchscreen Display Backlit KB Win11 Fingerprint Reader Storm Grey",236900,,Bulk_Scrape_Fixed,Lenovo,0,16,0,1,8,369504.4158591408,-35.88709908941686
Laptop,"Lenovo ThinkPad E16 G3 Intel Core 5 210H 8GB D5 512GB SSD 16"" WUXGA IPS Display Backlit KB Fingerprint Reader Dos Black (Official Warranty)",237000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,12.401657362021776
Laptop,Lenovo LOQ 15IAX9 Intel Core i5 12th Gen 24GB 512GB SSD 15.6″ FHD Display NVIDIA RTX 4050 6GB Graphics Backlit KB Dos Luna Grey,238000,,Bulk_Scrape_Fixed,Lenovo,0,24,512,1,8,292647.56926406914,-18.673508685376493
Laptop,Lenovo ThinkPad E16 G2 Intel Core Ultra 5 125U 8GB 512GB SSD 16 WUXGA Backlit KB Dos Graphite Black (Official Warranty),238000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,12.875925958486004
Laptop,"Lenovo ThinkPad E16 G3 Intel Core 5 225U 8GB D5 512GB SSD 16"" WUXGA IPS Display Backlit KB Dos Black (Official Warranty)",239000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,13.350194554950232
Laptop,Dell Latitude 5430 Intel Core i5 12th Gen 16GB 256GB SSD 14 FHD Backlit KB FingerPrint Reader Win11 Black,242000,,Bulk_Scrape_Fixed,Dell,0,16,256,1,5,265864.4655122655,-8.976177190992278
Laptop,"HP EliteBook 640 G11 Intel Core Ultra 5 125H 8GB 512GB SSD 14"" WUXGA Display Backlit KB Dos Silver With Bag (Official Warranty)",244700,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,36.58960766592351
Laptop,"Dell Latitude 3550 Intel Core i7 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Fingerprint Reader Dos (Official Warranty)",245000,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,56.56964967343463
Laptop,"Lenovo ThinkPad E16 G2 Intel Core Ultra 7 155H 16GB 512GB SSD 16"" WUXGA Display Dos Black",250000,,Bulk_Scrape_Fixed,Lenovo,0,16,512,1,8,292915.9158646717,-14.651274833593888
Laptop,"HP Probook 460 G11 Intel Core Ultra 7 155U 8GB 512GB SSD 16"" WUXGA Backlit KB Fingerprint Reader Dos Silver (Official Warranty)",252000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,40.664410019667855
Laptop,"HP OmniBook X Flip 16-AS0023DX Intel Core Ultra 7 256V 16GB 1TB SSD 16"" 2K Touchscreen x360 Display Backlit KB Win11 Eclipse Gray",254000,,Bulk_Scrape_Fixed,Hp,0,16,0,1,7,336483.9823232323,-24.5134944474108
Laptop,Lenovo ThinkPad E14 G5 Intel Core i7 13th Gen 8GB 512GB SSD 14″ WUXGA Display NVIDIA MX550 2GB Graphics Dos Black,255000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,20.93849209837786
Laptop,"Lenovo ThinkPad E14 G6 Intel Core Ultra 7 155H 16GB 512GB SSD 14"" WUXGA Display Dos Black",255000,,Bulk_Scrape_Fixed,Lenovo,0,16,512,1,8,292915.9158646717,-12.944300330265769
Laptop,"HP OmniBook X Flip 14-FM0023DX Intel Core Ultra 7 256V 16GB 1TB SSD 14"" 2K Touchscreen x360 Backlit KB Win11 Blue",260000,,Bulk_Scrape_Fixed,Hp,0,16,0,1,7,336483.9823232323,-22.730348646955935
Laptop,"HP Victus 15-FA2318TX Intel Core i7 13th Gen 16GB 512GB SSD 15.6"" FHD IPS 144Hz Display NVIDIA Geforce RTX 3050 6GB Graphics Backlit KB Dos Mica Silver",265000,,Bulk_Scrape_Fixed,Hp,0,16,512,1,7,240244.0039861236,10.304521904033157
Laptop,"Asus Creator Q530V Intel Core i7 13th Gen 16GB D5 512GB SSD 15.6"" FHD OLED Display NVIDIA GeForce RTX 3050 6GB Graphics Backlit KB Fingerprint Reader Win11 Home Black",282000,,Bulk_Scrape_Fixed,Asus,0,16,512,1,3,276356.24420432514,2.0422031034341783
Laptop,Apple MacBook Air MC6T4 M4 10-Core Chip 16GB 256GB SSD 13.6 Liquid Retina Display 8-Core GPU - Sky Blue,290000,,Bulk_Scrape_Fixed,Apple,0,16,256,1,1,305836.91630591627,-5.1782225956251935
